coordinate	section	type //
0.000000E+00	1.5000000E+00	1
0.000000E+00	1.500000E+00	1
1.585370E-01	1.310067E+00	1
2.804890E-01	1.074353E+00	1
3.742980E-01	1.000003E+00	1
4.464590E-01	1.047864E+00	1
5.019670E-01	1.147625E+00	1
5.446660E-01	1.256612E+00	1
5.775110E-01	1.356155E+00	1
6.027760E-01	1.440167E+00	1
6.222110E-01	1.508263E+00	1
6.371610E-01	1.562247E+00	1
6.486610E-01	1.604510E+00	1
6.601610E-01	1.647260E+00	1
6.751110E-01	1.703326E+00	1
6.945460E-01	1.776560E+00	1
7.198120E-01	1.871278E+00	1
7.526570E-01	1.991268E+00	1
7.953560E-01	2.136980E+00	1
8.508640E-01	2.298952E+00	1
9.230250E-01	2.444557E+00	1
1.000000E+00	2.500000E+00	1
1.000000E+00	2.5000000E+00	1
