coordinate	section	type //
0.000000E+00	1.5000000E+00	1
0.000000E+00	1.5000000E+00	1
7.812500E-03	1.4994647E+00	1
1.562500E-02	1.4978612E+00	1
2.343750E-02	1.4951963E+00	1
3.125000E-02	1.4914815E+00	1
3.906250E-02	1.4867325E+00	1
4.687500E-02	1.4809699E+00	1
5.468750E-02	1.4742182E+00	1
6.250000E-02	1.4665064E+00	1
7.031250E-02	1.4578674E+00	1
7.812500E-02	1.4483383E+00	1
8.593750E-02	1.4379600E+00	1
9.375000E-02	1.4267767E+00	1
1.015625E-01	1.4148365E+00	1
1.093750E-01	1.4021904E+00	1
1.171875E-01	1.3888926E+00	1
1.250000E-01	1.3750000E+00	1
1.328125E-01	1.3605722E+00	1
1.406250E-01	1.3456709E+00	1
1.484375E-01	1.3303599E+00	1
1.562500E-01	1.3147048E+00	1
1.640625E-01	1.2987726E+00	1
1.718750E-01	1.2826315E+00	1
1.796875E-01	1.2663508E+00	1
1.875000E-01	1.2500000E+00	1
1.953125E-01	1.2336492E+00	1
2.031250E-01	1.2173685E+00	1
2.109375E-01	1.2012274E+00	1
2.187500E-01	1.1852952E+00	1
2.265625E-01	1.1696401E+00	1
2.343750E-01	1.1543291E+00	1
2.421875E-01	1.1394278E+00	1
2.500000E-01	1.1250000E+00	1
2.578125E-01	1.1111074E+00	1
2.656250E-01	1.0978096E+00	1
2.734375E-01	1.0851635E+00	1
2.812500E-01	1.0732233E+00	1
2.890625E-01	1.0620400E+00	1
2.968750E-01	1.0516617E+00	1
3.046875E-01	1.0421326E+00	1
3.125000E-01	1.0334936E+00	1
3.203125E-01	1.0257818E+00	1
3.281250E-01	1.0190301E+00	1
3.359375E-01	1.0132675E+00	1
3.437500E-01	1.0085185E+00	1
3.515625E-01	1.0048037E+00	1
3.593750E-01	1.0021388E+00	1
3.671875E-01	1.0005353E+00	1
3.750000E-01	1.0000000E+00	1
3.828125E-01	1.0005782E+00	1
3.906250E-01	1.0023120E+00	1
3.984375E-01	1.0051987E+00	1
4.062500E-01	1.0092337E+00	1
4.140625E-01	1.0144110E+00	1
4.218750E-01	1.0207226E+00	1
4.296875E-01	1.0281586E+00	1
4.375000E-01	1.0367076E+00	1
4.453125E-01	1.0463565E+00	1
4.531250E-01	1.0570904E+00	1
4.609375E-01	1.0688926E+00	1
4.687500E-01	1.0817451E+00	1
4.765625E-01	1.0956280E+00	1
4.843750E-01	1.1105199E+00	1
4.921875E-01	1.1263978E+00	1
5.000000E-01	1.1432373E+00	1
5.078125E-01	1.1610123E+00	1
5.156250E-01	1.1796955E+00	1
5.234375E-01	1.1992581E+00	1
5.312500E-01	1.2196699E+00	1
5.390625E-01	1.2408994E+00	1
5.468750E-01	1.2629140E+00	1
5.546875E-01	1.2856795E+00	1
5.625000E-01	1.3091611E+00	1
5.703125E-01	1.3333223E+00	1
5.781250E-01	1.3581261E+00	1
5.859375E-01	1.3835341E+00	1
5.937500E-01	1.4095071E+00	1
6.015625E-01	1.4360052E+00	1
6.093750E-01	1.4629874E+00	1
6.171875E-01	1.4904122E+00	1
6.250000E-01	1.5182373E+00	1
6.328125E-01	1.5464197E+00	1
6.406250E-01	1.5749160E+00	1
6.484375E-01	1.6036823E+00	1
6.562500E-01	1.6326742E+00	1
6.640625E-01	1.6618470E+00	1
6.718750E-01	1.6911557E+00	1
6.796875E-01	1.7205551E+00	1
6.875000E-01	1.7500000E+00	1
6.953125E-01	1.7794449E+00	1
7.031250E-01	1.8088443E+00	1
7.109375E-01	1.8381530E+00	1
7.187500E-01	1.8673258E+00	1
7.265625E-01	1.8963177E+00	1
7.343750E-01	1.9250840E+00	1
7.421875E-01	1.9535803E+00	1
7.500000E-01	1.9817627E+00	1
7.578125E-01	2.0095878E+00	1
7.656250E-01	2.0370126E+00	1
7.734375E-01	2.0639948E+00	1
7.812500E-01	2.0904929E+00	1
7.890625E-01	2.1164659E+00	1
7.968750E-01	2.1418739E+00	1
8.046875E-01	2.1666777E+00	1
8.125000E-01	2.1908389E+00	1
8.203125E-01	2.2143205E+00	1
8.281250E-01	2.2370860E+00	1
8.359375E-01	2.2591006E+00	1
8.437500E-01	2.2803301E+00	1
8.515625E-01	2.3007419E+00	1
8.593750E-01	2.3203045E+00	1
8.671875E-01	2.3389877E+00	1
8.750000E-01	2.3567627E+00	1
8.828125E-01	2.3736022E+00	1
8.906250E-01	2.3894801E+00	1
8.984375E-01	2.4043720E+00	1
9.062500E-01	2.4182549E+00	1
9.140625E-01	2.4311074E+00	1
9.218750E-01	2.4429096E+00	1
9.296875E-01	2.4536435E+00	1
9.375000E-01	2.4632924E+00	1
9.453125E-01	2.4718414E+00	1
9.531250E-01	2.4792774E+00	1
9.609375E-01	2.4855890E+00	1
9.687500E-01	2.4907663E+00	1
9.765625E-01	2.4948013E+00	1
9.843750E-01	2.4976880E+00	1
9.921875E-01	2.4994218E+00	1
1.000000E+00	2.5000000E+00	1
1.000000E+00	2.5000000E+00	1
