x	value	type //
0.000000	1	1
0.014493	1	1
0.028986	1	1
0.043478	1	1
0.057971	1	1
0.072464	1	1
0.086957	1	1
0.101449	1	1
0.115942	1	1
0.130435	1	1
0.144928	1	1
0.159420	1	1
0.173913	1	1
0.188406	1	1
0.202899	1	1
0.217391	1	1
0.231884	1	1
0.246377	1	1
0.260870	1	1
0.275362	1	1
0.289855	1	1
0.304348	1	1
0.318841	1	1
0.333333	1	1
0.347826	1	1
0.362319	1	1
0.376812	1	1
0.391304	1	1
0.405797	1	1
0.420290	1	1
0.434783	1	1
0.449275	1	1
0.463768	1	1
0.478261	1	1
0.492754	1	1
0.507246	1	1
0.521739	1	1
0.536232	1	1
0.550725	1	1
0.565217	1	1
0.579710	1	1
0.594203	1	1
0.608696	1	1
0.623188	1	1
0.637681	1	1
0.652174	1	1
0.666667	1	1
0.681159	1	1
0.695652	1	1
0.710145	1	1
0.724638	1	1
0.739130	1	1
0.753623	1	1
0.768116	1	1
0.782609	1	1
0.797101	1	1
0.811594	1	1
0.826087	1	1
0.840580	1	1
0.855072	1	1
0.869565	1	1
0.884058	1	1
0.898551	1	1
0.913043	1	1
0.927536	1	1
0.942029	1	1
0.956522	1	1
0.971014	1	1
0.985507	1	1
1	1	1
