coordinate	section	type //
0.00E+00	1.00E+00	1
0.00E+00	1.00E+00	1
1.00E-02	1.00E+00	1
2.00E-02	1.00E+00	1
3.00E-02	1.00E+00	1
4.00E-02	1.00E+00	1
5.00E-02	1.00E+00	1
6.00E-02	1.00E+00	1
7.00E-02	1.00E+00	1
8.00E-02	1.00E+00	1
9.00E-02	1.00E+00	1
1.00E-01	1.00E+00	1
1.10E-01	1.00E+00	1
1.20E-01	1.00E+00	1
1.30E-01	1.00E+00	1
1.40E-01	1.00E+00	1
1.50E-01	1.00E+00	1
1.60E-01	1.00E+00	1
1.70E-01	1.00E+00	1
1.80E-01	1.00E+00	1
1.90E-01	1.00E+00	1
2.00E-01	1.00E+00	1
2.10E-01	1.00E+00	1
2.20E-01	1.00E+00	1
2.30E-01	1.00E+00	1
2.40E-01	1.00E+00	1
2.50E-01	1.00E+00	1
2.60E-01	1.00E+00	1
2.70E-01	1.00E+00	1
2.80E-01	1.00E+00	1
2.90E-01	1.00E+00	1
3.00E-01	1.00E+00	1
3.10E-01	1.00E+00	1
3.20E-01	1.00E+00	1
3.30E-01	1.00E+00	1
3.40E-01	1.00E+00	1
3.50E-01	1.00E+00	1
3.60E-01	1.00E+00	1
3.70E-01	1.00E+00	1
3.80E-01	1.00E+00	1
3.90E-01	1.00E+00	1
4.00E-01	1.00E+00	1
4.10E-01	1.00E+00	1
4.20E-01	1.00E+00	1
4.30E-01	1.00E+00	1
4.40E-01	1.00E+00	1
4.50E-01	1.00E+00	1
4.60E-01	1.00E+00	1
4.70E-01	1.00E+00	1
4.80E-01	1.00E+00	1
4.90E-01	1.00E+00	1
5.00E-01	1.00E+00	1
5.10E-01	1.00E+00	1
5.20E-01	1.00E+00	1
5.30E-01	1.00E+00	1
5.40E-01	1.00E+00	1
5.50E-01	1.00E+00	1
5.60E-01	1.00E+00	1
5.70E-01	1.00E+00	1
5.80E-01	1.00E+00	1
5.90E-01	1.00E+00	1
6.00E-01	1.00E+00	1
6.10E-01	1.00E+00	1
6.20E-01	1.00E+00	1
6.30E-01	1.00E+00	1
6.40E-01	1.00E+00	1
6.50E-01	1.00E+00	1
6.60E-01	1.00E+00	1
6.70E-01	1.00E+00	1
6.80E-01	1.00E+00	1
6.90E-01	1.00E+00	1
7.00E-01	1.00E+00	1
7.10E-01	1.00E+00	1
7.20E-01	1.00E+00	1
7.30E-01	1.00E+00	1
7.40E-01	1.00E+00	1
7.50E-01	1.00E+00	1
7.60E-01	1.00E+00	1
7.70E-01	1.00E+00	1
7.80E-01	1.00E+00	1
7.90E-01	1.00E+00	1
8.00E-01	1.00E+00	1
8.10E-01	1.00E+00	1
8.20E-01	1.00E+00	1
8.30E-01	1.00E+00	1
8.40E-01	1.00E+00	1
8.50E-01	1.00E+00	1
8.60E-01	1.00E+00	1
8.70E-01	1.00E+00	1
8.80E-01	1.00E+00	1
8.90E-01	1.00E+00	1
9.00E-01	1.00E+00	1
9.10E-01	1.00E+00	1
9.20E-01	1.00E+00	1
9.30E-01	1.00E+00	1
9.40E-01	1.00E+00	1
9.50E-01	1.00E+00	1
9.60E-01	1.00E+00	1
9.70E-01	1.00E+00	1
9.80E-01	1.00E+00	1
9.90E-01	1.00E+00	1
1.00E+00	1.00E+00	1
1.00E+00	1.00E+00	1
