coordinate	Rho	T	section	type	//
-40000000.0	1.08e-10	6554.9	1.0	0.0
-40000000.0	1.08e-10	6554.9	1.0	0.0
-39875000.0	9.144174645354799e-11	6772.941729991005	1.0	0.0
-39750000.0	7.761258737076618e-11	6995.813185008794	1.0	0.0
-39625000.0	6.598554281383272e-11	7223.479869001045	1.0	0.0
-39500000.0	5.6193920552363964e-11	7456.142594370348	1.0	0.0
-39375000.0	4.7935320692992134e-11	7693.842943542515	1.0	0.0
-39250000.0	4.09547261221142e-11	7936.562740099361	1.0	0.0
-39125000.0	3.50467131427457e-11	8184.378209991924	1.0	0.0
-39000000.0	3.003642601780566e-11	8437.408948618098	1.0	0.0
-38875000.0	2.5782595422813162e-11	8695.62322938904	1.0	0.0
-38750000.0	2.2164326230263014e-11	8959.047216114315	1.0	0.0
-38625000.0	1.9079859588737122e-11	9227.873248243635	1.0	0.0
-38500000.0	1.644953944354197e-11	9502.107776309285	1.0	0.0
-38375000.0	1.4201146289404475e-11	9781.805462706347	1.0	0.0
-38250000.0	1.2277117880178695e-11	10066.871201159553	1.0	0.0
-38125000.0	1.0627953836103501e-11	10358.24639011635	1.0	0.0
-38000000.0	9.212637837793652e-12	10657.710244277674	1.0	0.0
-37875000.0	7.99622783064333e-12	10927.928873869003	1.0	0.0
-37750000.0	6.9626552099938005e-12	9658.375875419666	1.0	0.0
-37625000.0	5.303815375911805e-12	108035.57400963646	1.0	0.0
-37500000.0	2.6820718165181206e-12	270366.246992075	1.0	0.0
-37375000.0	2.0817867148876135e-12	363027.29407255945	1.0	0.0
-37250000.0	1.7661267158346466e-12	415795.0827953584	1.0	0.0
-37125000.0	1.7029935784775196e-12	439382.98902832845	1.0	0.0
-37000000.0	1.626886086917922e-12	464239.34273993096	1.0	0.0
-36875000.0	1.5489426146420407e-12	489160.0619387975	1.0	0.0
-36750000.0	1.4715667769484541e-12	513884.15062177787	1.0	0.0
-36625000.0	1.3948014529903523e-12	538403.7476719872	1.0	0.0
-36500000.0	1.3185110283996105e-12	562760.0832801751	1.0	0.0
-36375000.0	1.2366134942053275e-12	588447.5293951076	1.0	0.0
-36250000.0	1.1602600461077422e-12	612730.3736009808	1.0	0.0
-36125000.0	1.1093330162900616e-12	630730.6171952861	1.0	0.0
-36000000.0	1.0851870123187392e-12	642116.531735414	1.0	0.0
-35875000.0	1.0728361469915208e-12	650565.4797275207	1.0	0.0
-35750000.0	1.05795645599556e-12	659591.6747423256	1.0	0.0
-35625000.0	1.041890835058995e-12	668867.0358846479	1.0	0.0
-35500000.0	1.0278086028588524e-12	677614.1758073542	1.0	0.0
-35375000.0	1.014552824040207e-12	686116.433594551	1.0	0.0
-35250000.0	1.0011011226127881e-12	694624.3370613519	1.0	0.0
-35125000.0	9.869686692400627e-13	703275.4577417835	1.0	0.0
-35000000.0	9.727376236800758e-13	711944.398472196	1.0	0.0
-34875000.0	9.585990638275623e-13	720552.9797540852	1.0	0.0
-34750000.0	9.447158103098833e-13	729030.2717508329	1.0	0.0
-34625000.0	9.312406651876481e-13	737309.2892481318	1.0	0.0
-34500000.0	9.18321649602977e-13	745324.8175416288	1.0	0.0
-34375000.0	9.057043456919675e-13	753189.8750803763	1.0	0.0
-34250000.0	8.931855481772397e-13	760994.3314460344	1.0	0.0
-34125000.0	8.80947790639675e-13	768657.5318962914	1.0	0.0
-34000000.0	8.691610909391682e-13	776104.3513975774	1.0	0.0
-33875000.0	8.579882196287284e-13	783262.8721302516	1.0	0.0
-33750000.0	8.475845912004996e-13	790064.4970123989	1.0	0.0
-33625000.0	8.380989933639683e-13	796443.4490782873	1.0	0.0
-33500000.0	8.296736654661047e-13	802337.0276739724	1.0	0.0
-33375000.0	8.22532325152254e-13	807653.0443810988	1.0	0.0
-33250000.0	8.166175875118361e-13	812419.6360807752	1.0	0.0
-33125000.0	8.117063874907388e-13	816731.5197145013	1.0	0.0
-33000000.0	8.075876139935279e-13	820678.9487456173	1.0	0.0
-32875000.0	8.040589917899353e-13	824348.1364488277	1.0	0.0
-32750000.0	8.009264426915766e-13	827821.6612064423	1.0	0.0
-32625000.0	7.980040736773518e-13	831179.0326014431	1.0	0.0
-32500000.0	7.951139057295446e-13	834496.1207700089	1.0	0.0
-32375000.0	7.920856472180915e-13	837845.4904508202	1.0	0.0
-32250000.0	7.887574032303422e-13	841296.1980587674	1.0	0.0
-32125000.0	7.849675833755954e-13	844917.488721049	1.0	0.0
-32000000.0	7.808620919687304e-13	848635.8481341776	1.0	0.0
-31875000.0	7.767144483224052e-13	852326.5799443215	1.0	0.0
-31750000.0	7.725339315867471e-13	855991.9099084917	1.0	0.0
-31625000.0	7.683347325010054e-13	859631.0802965178	1.0	0.0
-31500000.0	7.64129083031925e-13	863244.4741393578	1.0	0.0
-31375000.0	7.599285119534778e-13	866832.351185765	1.0	0.0
-31250000.0	7.55744131336364e-13	870394.8105500061	1.0	0.0
-31125000.0	7.515865903036348e-13	873932.2832537437	1.0	0.0
-31000000.0	7.4746608544267e-13	877444.8996308085	1.0	0.0
-30875000.0	7.433923840773233e-13	880932.85557234	1.0	0.0
-30750000.0	7.393747502203887e-13	884396.4867183989	1.0	0.0
-30625000.0	7.354223394678434e-13	887835.9303927377	1.0	0.0
-30500000.0	7.315434338620824e-13	891251.4690140733	1.0	0.0
-30375000.0	7.277465193144218e-13	894643.2391209246	1.0	0.0
-30250000.0	7.240388817784747e-13	898011.7147211429	1.0	0.0
-30125000.0	7.2042715049436e-13	901357.8148940406	1.0	0.0
-30000000.0	7.168708774323426e-13	904716.4051911642	1.0	0.0
-29875000.0	7.13341676861069e-13	908104.616245713	1.0	0.0
-29750000.0	7.098451749486295e-13	911511.4164522684	1.0	0.0
-29625000.0	7.06384810191703e-13	914927.604107579	1.0	0.0
-29500000.0	7.029641788933374e-13	918344.4220996301	1.0	0.0
-29375000.0	6.995867576367752e-13	921753.1721171748	1.0	0.0
-29250000.0	6.962557354243969e-13	925145.7180317704	1.0	0.0
-29125000.0	6.929743787301911e-13	928514.0671380833	1.0	0.0
-29000000.0	6.897455587796039e-13	931850.6481748429	1.0	0.0
-28875000.0	6.865721307463679e-13	935148.223362908	1.0	0.0
-28750000.0	6.834569599796402e-13	938399.8950892284	1.0	0.0
-28625000.0	6.804024063455749e-13	941598.8432231002	1.0	0.0
-28500000.0	6.774111065041183e-13	944738.8141500404	1.0	0.0
-28375000.0	6.744853046743627e-13	947813.7538631104	1.0	0.0
-28250000.0	6.716271068538909e-13	950817.7768790706	1.0	0.0
-28125000.0	6.688389241047422e-13	953745.2667762089	1.0	0.0
-28000000.0	6.661223766374892e-13	956590.9944430578	1.0	0.0
-27875000.0	6.634796070823469e-13	959349.896860481	1.0	0.0
-27750000.0	6.609122129297433e-13	962017.1476310798	1.0	0.0
-27625000.0	6.584220043165347e-13	964588.1368800962	1.0	0.0
-27500000.0	6.560104331346625e-13	967058.6614615901	1.0	0.0
-27375000.0	6.53678934435208e-13	969424.2162357484	1.0	0.0
-27250000.0	6.514289571266556e-13	971690.8746236905	1.0	0.0
-27125000.0	6.492586540253985e-13	973870.8930209861	1.0	0.0
-27000000.0	6.471643004068111e-13	975968.3368617067	1.0	0.0
-26875000.0	6.45142562114866e-13	977987.1913449743	1.0	0.0
-26750000.0	6.431901140973931e-13	979931.3986188056	1.0	0.0
-26625000.0	6.413036613222216e-13	981804.6990403681	1.0	0.0
-26500000.0	6.394799895667367e-13	983610.7151979358	1.0	0.0
-26375000.0	6.377161798349086e-13	985352.9789885175	1.0	0.0
-26250000.0	6.360093425571033e-13	987034.8124341511	1.0	0.0
