Rho	T	coordinate	section	type	//
1.080000E-10	6.554900E+03	0.000000E+00	1.000000E+00	0.000000E+00
1.010134E-10	6.641712E+03	5.000000E+04	1.000000E+00	0.000000E+00
9.446300E-11	6.729700E+03	1.000000E+05	1.000000E+00	0.000000E+00
8.836594E-11	6.818862E+03	1.500000E+05	1.000000E+00	0.000000E+00
8.267100E-11	6.909200E+03	2.000000E+05	1.000000E+00	0.000000E+00
7.733836E-11	7.000700E+03	2.500000E+05	1.000000E+00	0.000000E+00
7.235090E-11	7.093400E+03	3.000000E+05	1.000000E+00	0.000000E+00
6.768469E-11	7.187325E+03	3.500000E+05	1.000000E+00	0.000000E+00
6.332040E-11	7.282500E+03	4.000000E+05	1.000000E+00	0.000000E+00
5.923586E-11	7.378956E+03	4.500000E+05	1.000000E+00	0.000000E+00
5.541560E-11	7.476700E+03	5.000000E+05	1.000000E+00	0.000000E+00
5.184182E-11	7.575744E+03	5.500000E+05	1.000000E+00	0.000000E+00
4.849930E-11	7.676100E+03	6.000000E+05	1.000000E+00	0.000000E+00
4.537071E-11	7.777781E+03	6.500000E+05	1.000000E+00	0.000000E+00
4.244450E-11	7.880800E+03	7.000000E+05	1.000000E+00	0.000000E+00
3.970736E-11	7.985156E+03	7.500000E+05	1.000000E+00	0.000000E+00
3.714730E-11	8.090900E+03	8.000000E+05	1.000000E+00	0.000000E+00
3.475074E-11	8.198088E+03	8.500000E+05	1.000000E+00	0.000000E+00
3.250910E-11	8.306700E+03	9.000000E+05	1.000000E+00	0.000000E+00
3.041225E-11	8.416725E+03	9.500000E+05	1.000000E+00	0.000000E+00
2.845130E-11	8.528200E+03	1.000000E+06	1.000000E+00	0.000000E+00
2.661642E-11	8.641156E+03	1.050000E+06	1.000000E+00	0.000000E+00
2.490030E-11	8.755600E+03	1.100000E+06	1.000000E+00	0.000000E+00
2.329460E-11	8.871531E+03	1.150000E+06	1.000000E+00	0.000000E+00
2.179260E-11	8.989000E+03	1.200000E+06	1.000000E+00	0.000000E+00
2.038643E-11	9.108056E+03	1.250000E+06	1.000000E+00	0.000000E+00
1.907120E-11	9.228700E+03	1.300000E+06	1.000000E+00	0.000000E+00
1.784129E-11	9.350938E+03	1.350000E+06	1.000000E+00	0.000000E+00
1.669110E-11	9.474800E+03	1.400000E+06	1.000000E+00	0.000000E+00
1.561450E-11	9.600325E+03	1.450000E+06	1.000000E+00	0.000000E+00
1.460750E-11	9.727500E+03	1.500000E+06	1.000000E+00	0.000000E+00
1.366537E-11	9.856306E+03	1.550000E+06	1.000000E+00	0.000000E+00
1.278420E-11	9.986800E+03	1.600000E+06	1.000000E+00	0.000000E+00
1.195958E-11	1.011898E+04	1.650000E+06	1.000000E+00	0.000000E+00
1.118830E-11	1.025300E+04	1.700000E+06	1.000000E+00	0.000000E+00
1.046664E-11	1.038914E+04	1.750000E+06	1.000000E+00	0.000000E+00
9.791700E-12	1.052700E+04	1.800000E+06	1.000000E+00	0.000000E+00
